projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Magic Number Test;testStruct;27;27
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Magic Number Test;testStruct;30;30
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Magic Number Test;testStruct;36;36
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Magic Number Test;testStructSet;93;93
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Lazy Test;testStructNotEquals, testStructEquals;68, 52;68, 52
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Lazy Test;testStructNotEquals, testStructEquals;69, 53;69, 53
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Lazy Test;testStructSet, testStructNotEquals, testStructEquals, testStruct;87, 81, 75, 63, 58, 47, 42, 16;87, 81, 75, 63, 58, 47, 42, 16
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Lazy Test;testStructSet, testStructNotEquals, testStructEquals, testStruct;90, 89, 88, 84, 83, 82, 78, 77, 76, 66, 65, 64, 61, 60, 59, 50, 49, 48, 45, 44, 43, 19, 18, 17;90, 89, 88, 84, 83, 82, 78, 77, 76, 66, 65, 64, 61, 60, 59, 50, 49, 48, 45, 44, 43, 19, 18, 17
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Eager Test;testStruct;16, 34;16, 34
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Eager Test;testStructEquals;42, 47, 52, 53;42, 47, 52, 53
retroscope-lib;RQLStructTest;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\test\java\retroscope\datamodel\datastruct\struct\RQLStructTest.java;C:\Users\cebec\.jnose_projects\retroscope-lib\RetroLogServer\src\main\java\retroscope\datamodel\datastruct\struct\RQLStruct.java;JUnit4;96;4;Eager Test;testStructNotEquals;58, 63, 68, 69;58, 63, 68, 69
