projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Sensitive Equality;should_split_gps_string_and_convert_it_to_a_LatLng_object;20-20;20-20
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Sensitive Equality;should_split_gps_string_and_convert_it_to_a_LatLng_object;21-21;21-21
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Sensitive Equality;should_handle_spaces_when_converting_gps_value;33-33;33-33
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Sensitive Equality;should_handle_spaces_when_converting_gps_value;34-34;34-34
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Lazy Test;should_handle_spaces_when_converting_gps_value, should_split_gps_string_and_convert_it_to_a_LatLng_object;30, 17;30, 17
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Assertion Roulette;should_split_gps_string_and_convert_it_to_a_LatLng_object;20-20;20-20
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Assertion Roulette;should_split_gps_string_and_convert_it_to_a_LatLng_object;21-21;21-21
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Assertion Roulette;should_handle_spaces_when_converting_gps_value;33-33;33-33
bblfr-android;MapUtilsTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\map\MapUtilsTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\map\MapUtils.java;JUnit4;36;2;Assertion Roulette;should_handle_spaces_when_converting_gps_value;34-34;34-34
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Duplicate Assert;should_return_last_download_date_if_set;64, 65;64, 65
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Duplicate Assert;should_toggle_hr_mode_in_shared_prefs;150, 151;150, 151
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_return_0_as_last_download_date_at_first_launch_if_none;49-49;49-49
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_return_last_download_date_if_set;64-64;64-64
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_return_last_download_date_if_set;65-65;65-65
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_remove_reset_database_flag_when_setting_a_download_date;77-77;77-77
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_create_a_pair_of_lat_lng_when_getting_favorite_city;89-89;89-89
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_create_a_pair_of_lat_lng_when_getting_favorite_city;90-90;90-90
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_return_null_if_lat_or_lng_is_missing;102-102;102-102
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_save_favorite_city_coordinates_in_prefs_and_object_in_memory;116-116;116-116
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_save_favorite_city_coordinates_in_prefs_and_object_in_memory;117-117;117-117
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;should_save_favorite_city_coordinates_in_prefs_and_object_in_memory;118-118;118-118
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;reset_should_remove_all_keys_except_hr_mode_and_should_set_reset_flag_to_true;131-131;131-131
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;reset_should_remove_all_keys_except_hr_mode_and_should_set_reset_flag_to_true;132-132;132-132
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;reset_should_remove_all_keys_except_hr_mode_and_should_set_reset_flag_to_true;133-133;133-133
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;reset_should_remove_all_keys_except_hr_mode_and_should_set_reset_flag_to_true;134-134;134-134
bblfr-android;PreferencesTest;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\test\java\com\nilhcem\bblfr\core\prefs\PreferencesTest.java;C:\Users\cebec\.jnose_projects\bblfr-android\app\src\main\java\com\nilhcem\bblfr\core\prefs\Preferences.java;JUnit4;153;11;Assertion Roulette;reset_should_remove_all_keys_except_hr_mode_and_should_set_reset_flag_to_true;135-135;135-135
