projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Magic Number Test;testNegatives;45;45
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Magic Number Test;testConstructors;51;51
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Magic Number Test;testConstructors;52;52
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Magic Number Test;testConstructors;55;55
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Magic Number Test;testConstructors;63;63
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Lazy Test;testConstructors, testNegatives;63, 55, 53, 52, 51, 50, 49, 45;63, 55, 53, 52, 51, 50, 49, 45
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Assertion Roulette;testNegatives;45-45;45-45
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Assertion Roulette;testConstructors;49-49;49-49
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Assertion Roulette;testConstructors;50-50;50-50
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Assertion Roulette;testConstructors;51-51;51-51
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Assertion Roulette;testConstructors;52-52;52-52
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Assertion Roulette;testConstructors;53-53;53-53
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Assertion Roulette;testConstructors;55-60;55-60
dim;GmpIntegerTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\test\java\gmprsa\GmpIntegerTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\gmp-rsa\src\main\java\gmprsa\GmpInteger.java;JUnit4;73;3;Assertion Roulette;testConstructors;63-71;63-71
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Magic Number Test;test_ctor_0arg;70;70
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Magic Number Test;test_ctor_0arg;71;71
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Magic Number Test;test_ctor_0arg;72;72
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Magic Number Test;test_rrFromWire;146;146
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Magic Number Test;test_rrFromWire;159;159
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Magic Number Test;test_rdataFromString;176;176
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Magic Number Test;test_rdataFromString;186;186
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Verbose Test;test_ctor_6arg;82-132;82-132
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Verbose Test;test_rdataFromString;168-207;168-207
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Lazy Test;test_ctor_6arg, test_ctor_0arg;95, 85, 69;95, 85, 69
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Lazy Test;test_rdataFromString, test_rrFromWire, test_ctor_6arg;188, 178, 165, 148, 101, 91;188, 178, 165, 148, 101, 91
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Lazy Test;test_rrToWire, test_rrToString, test_rdataFromString, test_rrFromWire, test_ctor_6arg, test_getObject, test_ctor_0arg;220, 211, 201, 192, 184, 174, 157, 144, 126, 119, 112, 105, 94, 84, 77, 68;220, 211, 201, 192, 184, 174, 157, 144, 126, 119, 112, 105, 94, 84, 77, 68
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Lazy Test;test_rdataFromString, test_rrFromWire, test_ctor_6arg;187, 177, 164, 147, 100, 90;187, 177, 164, 147, 100, 90
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Lazy Test;test_ctor_6arg, test_ctor_0arg;97, 87, 71;97, 87, 71
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Lazy Test;test_ctor_6arg, test_ctor_0arg;96, 86, 70;96, 86, 70
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Lazy Test;test_rdataFromString, test_rrFromWire, test_ctor_6arg;186, 176, 159, 146, 99, 89;186, 176, 159, 146, 99, 89
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Lazy Test;test_ctor_6arg, test_ctor_0arg;98, 88, 72;98, 88, 72
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_ctor_6arg;85, 95;85, 95
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_ctor_6arg;86, 96;86, 96
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_ctor_6arg;87, 97;87, 97
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_ctor_6arg;88, 98;88, 98
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_ctor_6arg;89, 99;89, 99
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_ctor_6arg;90, 100;90, 100
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_ctor_6arg;106, 113;106, 113
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_ctor_6arg;120, 128;120, 128
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_rdataFromString;177, 187;177, 187
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_rdataFromString;195, 204;195, 204
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Duplicate Assert;test_rrToWire;231, 243;231, 243
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Eager Test;test_ctor_0arg;68, 72;68, 72
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Eager Test;test_getObject;77, 78;77, 78
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Eager Test;test_ctor_6arg;101, 105, 112, 119, 126, 84, 94;101, 105, 112, 119, 126, 84, 94
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Eager Test;test_rrFromWire;144, 157, 165;144, 157, 165
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Eager Test;test_rdataFromString;174, 184, 192, 201, 203;174, 184, 192, 201, 203
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Eager Test;test_rrToString;211, 213;211, 213
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Eager Test;test_rrToWire;220, 242;220, 242
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_0arg;69-69;69-69
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_0arg;70-70;70-70
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_0arg;71-71;71-71
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_0arg;72-72;72-72
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_getObject;79-79;79-79
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;85-85;85-85
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;86-86;86-86
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;87-87;87-87
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;88-88;88-88
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;89-89;89-89
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;90-90;90-90
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;91-91;91-91
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;95-95;95-95
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;96-96;96-96
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;97-97;97-97
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;98-98;98-98
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;99-99;99-99
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;100-100;100-100
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_ctor_6arg;101-101;101-101
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rrFromWire;146-146;146-146
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rrFromWire;147-147;147-147
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rrFromWire;148-148;148-148
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rrFromWire;159-159;159-159
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rrFromWire;164-164;164-164
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rrFromWire;165-165;165-165
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rdataFromString;176-176;176-176
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rdataFromString;177-177;177-177
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rdataFromString;178-178;178-178
dim;A6RecordTest;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\test\java\org\xbill\DNS\A6RecordTest.java;C:\Users\cebec\.jnose_projects\dim\pdns-output\jdnssec-dnsjava\src\main\java\org\xbill\DNS\A6Record.java;JUnit3;245;14;Assertion Roulette;test_rdataFromString;186-186;186-186
