projectName;name;pathFile;productionFile;junitVersion;loc;qtdMethods;testSmellName;testSmellMethod;testSmellLineBegin;testSmellLineEnd
RxGroups;NonResubscribableTagTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\NonResubscribableTagTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\NonResubscribableTag.java;JUnit4;32;4;Lazy Test;testNoMatch, testMatchInnerclass, testMatch;26, 20, 13;26, 20, 13
RxGroups;NonResubscribableTagTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\NonResubscribableTagTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\NonResubscribableTag.java;JUnit4;32;4;Lazy Test;testMatchInnerclass, testMatch;19, 12;19, 12
RxGroups;NonResubscribableTagTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\NonResubscribableTagTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\NonResubscribableTag.java;JUnit4;32;4;Lazy Test;testNoMatch, testMatchInnerclass, testMatch;26, 20, 13;26, 20, 13
RxGroups;NonResubscribableTagTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\NonResubscribableTagTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\NonResubscribableTag.java;JUnit4;32;4;Lazy Test;testMatchInnerclass, testMatch;19, 12;19, 12
RxGroups;NonResubscribableTagTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\NonResubscribableTagTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\NonResubscribableTag.java;JUnit4;32;4;Assertion Roulette;testMatch;13-13;13-13
RxGroups;NonResubscribableTagTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\NonResubscribableTagTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\NonResubscribableTag.java;JUnit4;32;4;Assertion Roulette;testMatchInnerclass;20-20;20-20
RxGroups;NonResubscribableTagTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\NonResubscribableTagTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\NonResubscribableTag.java;JUnit4;32;4;Assertion Roulette;testNoMatch;26-26;26-26
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Lazy Test;testDisposingObserverResubscribe, testDisposingObserver, testCancelAndReAddSubscription, shouldNotReplaceObservableOfSameTagAndSameGroupIdAndDifferentObservers, shouldReplaceObservablesOfSameTagAndSameGroupId, testResubscribeThrowsAfterDestroyed, testAddThrowsAfterDestroyed, testUnsubscribeWhenLocked, shouldAutoResubscribeAfterLockAndUnlock, shouldAutoResubscribeAfterUnlock, shouldNotDeliverResultWhileLocked, shouldQueueMultipleRequests, shouldOverrideExistingSubscriber, shouldNotRemoveSubscribersForOtherIds, shouldNotDeliverEventsAfterCancelled, shouldUnsubscribeByContext, shouldNotDeliverEventsWhenResubscribedIfLocked, shouldDeliverQueuedErrorWhenResubscribed, shouldDeliverQueuedEventsWhenResubscribed, shouldNotDeliverResultWhileUnsubscribed, shouldRemoveResponseAfterErrorDelivery, shouldRemoveObservablesAfterTermination, shouldClearQueuedResults, shouldClearObservablesWhenLocked, shouldClearObservablesByGroupId, shouldSeparateObservablesByGroupId, shouldDeliverError, shouldDeliverSuccessfulEvent, shouldBeSubscribed, shouldNotBeCompleted, shouldAddRequestByObserverTag;569, 554, 544, 540, 519, 518, 491, 490, 475, 466, 447, 428, 410, 394, 374, 373, 355, 354, 335, 334, 316, 298, 272, 252, 228, 214, 200, 186, 173, 159, 158, 135, 134, 121, 115, 104, 90, 80, 73, 61;569, 554, 544, 540, 519, 518, 491, 490, 475, 466, 447, 428, 410, 394, 374, 373, 355, 354, 335, 334, 316, 298, 272, 252, 228, 214, 200, 186, 173, 159, 158, 135, 134, 121, 115, 104, 90, 80, 73, 61
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Lazy Test;testUnsubscribeWhenLocked, shouldAutoResubscribeAfterLockAndUnlock, shouldAutoResubscribeAfterUnlock, shouldNotDeliverEventsWhenResubscribedIfLocked;454, 434, 415, 285;454, 434, 415, 285
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Lazy Test;testResubscribeThrowsAfterDestroyed, shouldNotDeliverEventsWhenResubscribedIfLocked, shouldDeliverQueuedErrorWhenResubscribed, shouldDeliverQueuedEventsWhenResubscribed;478, 280, 262, 240;478, 280, 262, 240
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Lazy Test;testUnsubscribeWhenLocked, shouldAutoResubscribeAfterLockAndUnlock, shouldAutoResubscribeAfterUnlock, shouldNotDeliverResultWhileLocked, shouldNotDeliverEventsWhenResubscribedIfLocked;448, 429, 409, 393, 278;448, 429, 409, 393, 278
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Lazy Test;testResubscribeThrowsAfterDestroyed, testAddThrowsAfterDestroyed;477, 465;477, 465
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Lazy Test;testResubscribeThrowsAfterDestroyed, testUnsubscribeWhenLocked, shouldQueueMultipleRequests, shouldNotRemoveSubscribersForOtherIds, shouldUnsubscribeByContext, shouldNotDeliverEventsWhenResubscribedIfLocked, shouldDeliverQueuedErrorWhenResubscribed, shouldDeliverQueuedEventsWhenResubscribed, shouldNotDeliverResultWhileUnsubscribed, shouldClearQueuedResults, shouldClearObservablesWhenLocked;476, 449, 375, 336, 299, 273, 254, 230, 215, 174, 161;476, 449, 375, 336, 299, 273, 254, 230, 215, 174, 161
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Lazy Test;testCancelAndReAddSubscription, shouldNotReplaceObservableOfSameTagAndSameGroupIdAndDifferentObservers, shouldReplaceObservablesOfSameTagAndSameGroupId, shouldClearObservablesByGroupId, shouldBeSubscribed;546, 542, 524, 521, 493, 148, 147, 142, 141, 82;546, 542, 524, 521, 493, 148, 147, 142, 141, 82
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Lazy Test;testDisposingObserver, shouldNotReplaceObservableOfSameTagAndSameGroupIdAndDifferentObservers, shouldReplaceObservablesOfSameTagAndSameGroupId, testUnsubscribeWhenLocked, shouldAutoResubscribeAfterLockAndUnlock, shouldAutoResubscribeAfterUnlock, shouldNotDeliverResultWhileLocked, shouldQueueMultipleRequests, shouldNotDeliverEventsAfterCancelled, shouldUnsubscribeByContext, shouldNotDeliverEventsWhenResubscribedIfLocked, shouldDeliverQueuedErrorWhenResubscribed, shouldDeliverQueuedEventsWhenResubscribed, shouldNotDeliverResultWhileUnsubscribed, shouldRemoveResponseAfterErrorDelivery, shouldRemoveObservablesAfterTermination, shouldClearQueuedResults, shouldClearObservablesWhenLocked, shouldClearObservablesByGroupId, shouldSeparateObservablesByGroupId, shouldAddRequestByObserverTag, shouldNotHaveObservable;561, 525, 522, 494, 458, 439, 420, 401, 385, 384, 323, 308, 289, 265, 244, 221, 206, 192, 179, 165, 164, 146, 145, 140, 139, 125, 124, 123, 122, 119, 118, 117, 116, 65, 64, 63, 54;561, 525, 522, 494, 458, 439, 420, 401, 385, 384, 323, 308, 289, 265, 244, 221, 206, 192, 179, 165, 164, 146, 145, 140, 139, 125, 124, 123, 122, 119, 118, 117, 116, 65, 64, 63, 54
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Duplicate Assert;shouldSeparateObservablesByGroupId;116, 122;116, 122
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Duplicate Assert;shouldSeparateObservablesByGroupId;117, 123;117, 123
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Duplicate Assert;shouldSeparateObservablesByGroupId;118, 124;118, 124
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Duplicate Assert;shouldSeparateObservablesByGroupId;119, 125;119, 125
RxGroups;ObservableGroupTest;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\test\java\com\airbnb\rxgroups\ObservableGroupTest.java;C:\Users\cebec\.jnose_projects\RxGroups\rxgroups\src\main\java\com\airbnb\rxgroups\ObservableGroup.java;JUnit4;582;36;Duplicate Assert;shouldClearObservablesByGroupId;139, 145;139, 145
